metric,record_count,min_timestamp,max_timestamp
System Weight(N),31467,2018-10-15 19:27:41,2025-10-14 12:50:32
Propulsive Net Impulse(N.s),31295,2018-10-15 19:27:41,2025-10-14 12:50:32
Peak Propulsive Force(N),31295,2018-10-15 19:27:41,2025-10-14 12:50:32
Avg. Propulsive Power(W),31295,2018-10-15 19:27:41,2025-10-14 12:50:32
Jump Height(m),31295,2018-10-15 19:27:41,2025-10-14 12:50:32
Peak Velocity(m/s),31295,2018-10-15 19:27:41,2025-10-14 12:50:32
Propulsive Phase(s),31295,2018-10-15 19:27:41,2025-10-14 12:50:32
Peak Propulsive Power(W),31295,2018-10-15 19:27:41,2025-10-14 12:50:32
Avg. Relative Propulsive Force(%),31295,2018-10-15 19:27:41,2025-10-14 12:50:32
Avg. Propulsive Force(N),31295,2018-10-15 19:27:41,2025-10-14 12:50:32
