metric,record_count,min_timestamp,max_timestamp
track_outside_field,40803,2021-06-17 21:49:39,2025-10-21 12:24:21
track_heart_rate_always,40803,2021-06-17 21:49:39,2025-10-21 12:24:21
accel_load_accum,40703,2021-06-17 21:49:39,2025-10-21 12:24:21
time_total,40585,2021-06-17 21:49:39,2025-10-21 12:24:21
accel_load_accum_avg_per_minute,40485,2021-06-17 21:49:39,2025-10-21 12:24:21
distance_total,40317,2021-06-17 21:49:39,2025-10-21 12:24:21
speed_distance_per_time,40316,2021-06-17 21:49:39,2025-10-21 12:24:21
distance_total_avg_per_minute,40315,2021-06-17 21:49:39,2025-10-21 12:24:21
speed_max,40312,2021-06-17 21:49:39,2025-10-21 12:24:21
speed_avg,40298,2021-06-17 21:49:39,2025-10-21 12:24:21
