metric,record_count,min_timestamp,max_timestamp
leftAvgForce,3722,2020-12-14 12:56:23,2025-10-01 15:11:46
leftMaxForce,3722,2020-12-14 12:56:23,2025-10-01 15:11:46
leftImpulse,3719,2020-12-14 12:56:23,2025-10-01 15:11:46
rightAvgForce,3719,2020-12-14 12:56:23,2025-10-01 15:11:46
rightMaxForce,3719,2020-12-14 12:56:23,2025-10-01 15:11:46
rightImpulse,3714,2020-12-14 12:56:23,2025-10-01 15:11:46
leftTorque,3679,2020-12-14 12:56:23,2025-10-01 15:11:46
rightTorque,3676,2020-12-14 12:56:23,2025-10-01 15:11:46
rightRepetitions,3662,2020-12-14 12:56:23,2025-10-01 15:11:46
leftRepetitions,3654,2020-12-14 12:56:23,2025-10-01 15:11:46
