metric,record_count,team
System Weight(N),32295,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Propulsive Net Impulse(N.s),32123,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Peak Propulsive Force(N),32123,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Avg. Propulsive Power(W),32123,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Jump Height(m),32123,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Peak Velocity(m/s),32123,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Propulsive Phase(s),32123,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Peak Propulsive Power(W),32123,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Avg. Relative Propulsive Force(%),32123,"Team: Stony Brook, Team: Stony Brook Womens T&F"
Avg. Propulsive Force(N),32123,"Team: Stony Brook, Team: Stony Brook Womens T&F"
