team,athletes_with_5_plus,total_athletes_in_team,percentage
Team: SBU WLAX,22,22,100.0
Team: Stony Brook MLAX,69,69,100.0
"Team: Stony Brook Mens T&F, Team: Stony Brook",1,1,100.0
Team: Stony Brook Mens T&F,15,15,100.0
Team: Stony Brook Mens Soccer,41,41,100.0
"Team: Stony Brook Mens Basketball , Team: Mens Basketball 2024-2025",6,6,100.0
Team: Stony Brook Mens Basketball ,18,18,100.0
"Team: Stony Brook Football, Team: Stony Brook",12,12,100.0
Team: Stony Brook Football,15,15,100.0
Team: Stony Brook Baseball,29,29,100.0
Team: Stony Brook,7,7,100.0
"Team: Stony Brook MLAX, Team: Stony Brook",1,1,100.0
Team: Old Football,65,65,100.0
Team: nan,1,1,100.0
"Team: Mens Basketball 2024-2025, Team: Stony Brook Mens Basketball ",8,8,100.0
Team: 1,1,1,100.0
Staff,1,1,100.0
Softball,26,26,100.0
Mens Soccer,90,90,100.0
Mens Lax,93,93,100.0
Mens Basketball,101,101,100.0
"Team: Stony Brook, Team: Stony Brook Football",12,12,100.0
Womens Soccer,59,59,100.0
Womens Lacrosse,82,82,100.0
Womens Basketball,79,79,100.0
Volleyball,17,17,100.0
Track,40,40,100.0
Tennis,9,9,100.0
"Team: Stony Brook, Team: Stony Brook Womens T&F",1,1,100.0
"Team: Stony Brook, Team: Stony Brook MLAX",13,13,100.0
"Team: Stony Brook, Team: Stony Brook Mens T&F",7,7,100.0
"Team: Stony Brook, Team: Stony Brook Mens Basketball ",1,1,100.0
"Group: Womens Basketball, Team: Stony Brook Womens Basketball",9,9,100.0
Team: Stony Brook Womens Volleyball,31,31,100.0
Team: Stony Brook Womens Tennis,20,20,100.0
"Team: Stony Brook Womens T&F, Team: Stony Brook",4,4,100.0
Team: Stony Brook Womens T&F,20,20,100.0
Team: Stony Brook Womens Soccer,77,77,100.0
Team: Stony Brook Womens Basketball,13,13,100.0
Team: Stony Brook Volleyball,5,5,100.0
Team: Stony Brook Swimming and Diving,39,39,100.0
Team: Stony Brook Softball,50,50,100.0
"Group: Baseball Outfielders, Group: Baseball Position Players, Team: Stony Brook Baseball",3,3,100.0
"Group: Football Big Skill, Team: Stony Brook Football",22,22,100.0
"Group: Football Big Skill, Group: Football Skill, Team: Stony Brook Football",1,1,100.0
"Group: Baseball Position Players, Team: Stony Brook, Team: Stony Brook Baseball",1,1,100.0
"Group: Baseball Position Players, Team: Stony Brook Baseball",14,14,100.0
"Group: Baseball Position Players, Group: Baseball Outfielders, Team: Stony Brook Baseball",1,1,100.0
"Group: Baseball Position Players, Group: Baseball Outfielders, Group: Baseball Infielders, Team: Stony Brook Baseball",1,1,100.0
"Group: Baseball Position Players, Group: Baseball Infielders, Team: Stony Brook Baseball",2,2,100.0
"Group: Baseball Position Players, Group: Baseball Catchers, Team: Stony Brook Baseball",2,2,100.0
"Group: Baseball Pitchers, Team: Stony Brook Baseball",30,30,100.0
"Group: Baseball Pitchers, Group: Baseball Position Players, Group: Baseball Infielders, Team: Stony Brook Baseball",1,1,100.0
"Group: Football Big Skill, Team: Stony Brook Football, Team: Stony Brook",1,1,100.0
"Group: Baseball Outfielders, Group: Baseball Infielders, Group: Baseball Position Players, Team: Stony Brook Baseball",1,1,100.0
"Group: Baseball Infielders, Group: Baseball Position Players, Team: Stony Brook Baseball",4,4,100.0
"Group: Baseball Infielders, Group: Baseball Pitchers, Group: Baseball Position Players, Team: Stony Brook Baseball",1,1,100.0
"Group: Baseball Infielders, Group: Baseball Outfielders, Group: Baseball Position Players, Team: Stony Brook Baseball",3,3,100.0
"Group: Baseball Catchers, Group: Baseball Position Players, Team: Stony Brook Baseball",1,1,100.0
"Group: Baseball Catchers, Group: Baseball Outfielders, Group: Baseball Position Players, Team: Stony Brook, Team: Stony Brook Baseball",1,1,100.0
"Group: Athletic Performance Staff, Team: Stony Brook",30,30,100.0
"Group: 21-22, Team: Stony Brook Mens Basketball ",7,7,100.0
"Group: 2023-2024 WBB, Group: Womens Basketball, Team: Stony Brook Womens Basketball",11,11,100.0
Football,136,136,100.0
"Group: Mens Basketball, Team: Stony Brook",1,1,100.0
"Group: Womens Basketball, Group: 2023-2024 WBB, Team: Stony Brook Womens Basketball",1,1,100.0
"Group: WLAX , Team: SBU WLAX",3,3,100.0
"Group: WLAX , Group: WLAX Spring 24, Team: SBU WLAX",46,46,100.0
"Group: SBU Volleyball, Team: Stony Brook, Team: Stony Brook Womens Volleyball",2,2,100.0
"Group: SBU Volleyball, Team: Stony Brook",1,1,100.0
"Group: msoc, Team: Stony Brook Womens Basketball",14,14,100.0
"Group: msoc, Group: 2023-2024 WBB, Group: Womens Basketball, Team: Stony Brook Womens Basketball",1,1,100.0
"Group: MSOC 21-22, Team: Stony Brook Mens Soccer",20,20,100.0
"Group: Mens Basketball, Team: Stony Brook Mens Basketball , Team: Stony Brook",3,3,100.0
Baseball,62,62,100.0
"Group: Mens Basketball, Group: Mens Basketball, Team: Stony Brook",1,1,100.0
"Group: Mens Basketball, Group: 21-22, Team: Stony Brook, Team: Stony Brook Mens Basketball ",2,2,100.0
"Group: Mens Basketball, Group: 21-22, Team: Stony Brook Mens Basketball , Team: Stony Brook",7,7,100.0
"Group: Football Skill, Team: Stony Brook, Team: Stony Brook Football",10,10,100.0
"Group: Football Skill, Team: Stony Brook Football",23,23,100.0
"Group: Football Bigs, Team: Stony Brook, Team: Stony Brook Football",16,16,100.0
"Group: Football Bigs, Team: Stony Brook Football, Team: Stony Brook",2,2,100.0
"Group: Football Bigs, Team: Stony Brook Football",10,10,100.0
"Group: Football Big Skill, Team: Stony Brook, Team: Stony Brook Football",11,11,100.0
Swim/Dive,16,19,84.21
