,metric,playername,player_counter
0,accel_load_accum,PLAYER_755,477
1,distance_total,PLAYER_755,475
2,accel_load_accum,PLAYER_690,469
3,distance_total,PLAYER_690,463
4,accel_load_accum,PLAYER_1128,457
5,distance_total,PLAYER_1128,455
6,accel_load_accum,PLAYER_741,451
7,distance_total,PLAYER_741,448
8,accel_load_accum,PLAYER_454,439
9,distance_total,PLAYER_454,437
10,accel_load_accum,PLAYER_705,431
11,distance_total,PLAYER_705,425
12,accel_load_accum,PLAYER_262,422
13,distance_total,PLAYER_262,418
14,accel_load_accum,PLAYER_244,415
15,accel_load_accum,PLAYER_1034,414
16,accel_load_accum,PLAYER_470,413
17,distance_total,PLAYER_470,413
18,distance_total,PLAYER_1034,412
19,accel_load_accum,PLAYER_1022,410
20,distance_total,PLAYER_244,410
21,accel_load_accum,PLAYER_342,409
22,accel_load_accum,PLAYER_567,409
23,accel_load_accum,PLAYER_1208,405
24,distance_total,PLAYER_1208,404
25,distance_total,PLAYER_567,404
26,distance_total,PLAYER_1022,403
27,accel_load_accum,PLAYER_1186,400
28,accel_load_accum,PLAYER_093,400
29,accel_load_accum,PLAYER_1055,400
30,accel_load_accum,PLAYER_115,399
31,distance_total,PLAYER_115,399
32,distance_total,PLAYER_342,399
33,accel_load_accum,PLAYER_769,398
34,distance_total,PLAYER_769,397
35,accel_load_accum,PLAYER_230,394
36,distance_total,PLAYER_093,394
37,distance_total,PLAYER_1055,394
38,accel_load_accum,PLAYER_1094,393
39,distance_total,PLAYER_1186,393
40,distance_total,PLAYER_1094,392
41,accel_load_accum,PLAYER_469,387
42,distance_total,PLAYER_469,387
43,distance_total,PLAYER_230,387
44,accel_load_accum,PLAYER_014,384
45,accel_load_accum,PLAYER_562,380
46,distance_total,PLAYER_014,377
47,distance_total,PLAYER_562,376
48,accel_load_accum,PLAYER_023,370
49,distance_total,PLAYER_023,363
50,accel_load_accum,PLAYER_084,353
51,distance_total,PLAYER_084,352
52,accel_load_accum,PLAYER_555,350
53,distance_total,PLAYER_555,344
54,accel_load_accum,PLAYER_1047,343
55,distance_total,PLAYER_1047,338
56,accel_load_accum,PLAYER_021,335
57,accel_load_accum,PLAYER_557,330
58,distance_total,PLAYER_021,328
59,accel_load_accum,PLAYER_888,326
60,distance_total,PLAYER_557,326
61,accel_load_accum,PLAYER_1152,320
62,accel_load_accum,PLAYER_333,319
63,distance_total,PLAYER_1152,319
64,accel_load_accum,PLAYER_1239,318
65,distance_total,PLAYER_333,318
66,distance_total,PLAYER_888,317
67,accel_load_accum,PLAYER_698,316
68,accel_load_accum,PLAYER_489,316
69,distance_total,PLAYER_1239,316
70,accel_load_accum,PLAYER_719,315
71,distance_total,PLAYER_698,315
72,distance_total,PLAYER_719,315
73,accel_load_accum,PLAYER_1139,313
74,distance_total,PLAYER_1139,312
75,accel_load_accum,PLAYER_1079,310
76,accel_load_accum,PLAYER_1126,310
77,distance_total,PLAYER_489,309
78,distance_total,PLAYER_1079,307
79,accel_load_accum,PLAYER_432,306
80,distance_total,PLAYER_432,306
81,accel_load_accum,PLAYER_687,302
82,distance_total,PLAYER_687,302
83,distance_total,PLAYER_1126,300
84,accel_load_accum,PLAYER_137,299
85,distance_total,PLAYER_137,298
86,accel_load_accum,PLAYER_1114,296
87,accel_load_accum,PLAYER_112,296
88,distance_total,PLAYER_112,296
89,distance_total,PLAYER_1114,294
90,accel_load_accum,PLAYER_803,290
91,distance_total,PLAYER_803,288
92,accel_load_accum,PLAYER_988,286
93,accel_load_accum,PLAYER_078,284
94,distance_total,PLAYER_988,284
95,accel_load_accum,PLAYER_610,283
96,distance_total,PLAYER_078,280
97,accel_load_accum,PLAYER_780,279
98,distance_total,PLAYER_780,279
99,accel_load_accum,PLAYER_066,278
100,distance_total,PLAYER_066,277
101,accel_load_accum,PLAYER_297,275
102,distance_total,PLAYER_610,274
103,accel_load_accum,PLAYER_184,272
104,accel_load_accum,PLAYER_910,269
105,distance_total,PLAYER_297,266
106,distance_total,PLAYER_910,265
107,accel_load_accum,PLAYER_617,264
108,distance_total,PLAYER_617,264
109,accel_load_accum,PLAYER_438,263
110,distance_total,PLAYER_184,263
111,accel_load_accum,PLAYER_410,262
112,accel_load_accum,PLAYER_685,262
113,accel_load_accum,PLAYER_902,262
114,distance_total,PLAYER_410,262
115,distance_total,PLAYER_438,262
116,accel_load_accum,PLAYER_088,261
117,distance_total,PLAYER_685,261
118,distance_total,PLAYER_902,261
119,accel_load_accum,PLAYER_944,260
120,distance_total,PLAYER_944,260
121,distance_total,PLAYER_088,259
122,accel_load_accum,PLAYER_296,258
123,distance_total,PLAYER_296,255
124,accel_load_accum,PLAYER_668,251
125,distance_total,PLAYER_668,251
126,accel_load_accum,PLAYER_1052,250
127,accel_load_accum,PLAYER_198,250
128,accel_load_accum,PLAYER_953,248
129,accel_load_accum,PLAYER_1125,247
130,accel_load_accum,PLAYER_1196,246
131,accel_load_accum,PLAYER_1077,246
132,distance_total,PLAYER_1052,246
133,distance_total,PLAYER_1196,246
134,distance_total,PLAYER_1077,242
135,distance_total,PLAYER_953,241
136,distance_total,PLAYER_1125,240
137,distance_total,PLAYER_198,236
138,accel_load_accum,PLAYER_430,229
139,distance_total,PLAYER_430,229
140,accel_load_accum,PLAYER_955,227
141,accel_load_accum,PLAYER_995,227
142,accel_load_accum,PLAYER_1162,226
143,distance_total,PLAYER_1162,225
144,distance_total,PLAYER_995,225
145,accel_load_accum,PLAYER_033,220
146,distance_total,PLAYER_033,219
147,distance_total,PLAYER_955,215
148,accel_load_accum,PLAYER_672,207
149,distance_total,PLAYER_672,205
150,accel_load_accum,PLAYER_002,204
151,accel_load_accum,PLAYER_526,204
152,accel_load_accum,PLAYER_480,204
153,distance_total,PLAYER_002,203
154,accel_load_accum,PLAYER_182,202
155,accel_load_accum,PLAYER_270,202
156,distance_total,PLAYER_480,202
157,distance_total,PLAYER_182,200
158,distance_total,PLAYER_270,200
159,accel_load_accum,PLAYER_746,199
160,accel_load_accum,PLAYER_218,198
161,distance_total,PLAYER_218,198
162,distance_total,PLAYER_746,196
163,accel_load_accum,PLAYER_376,194
164,distance_total,PLAYER_526,193
165,accel_load_accum,PLAYER_193,190
166,distance_total,PLAYER_376,190
167,accel_load_accum,PLAYER_774,189
168,accel_load_accum,PLAYER_732,188
169,distance_total,PLAYER_774,188
170,distance_total,PLAYER_732,188
171,distance_total,PLAYER_193,187
172,accel_load_accum,PLAYER_423,185
173,distance_total,PLAYER_423,185
174,accel_load_accum,PLAYER_074,184
175,accel_load_accum,PLAYER_915,184
176,distance_total,PLAYER_074,184
